procesos,q,longitud,tiempo_tot,tiempo_comm,tiempo_ejec
5,100,10,0.00013876239999999998,0.00011359759999999999,2.516504e-05
6,100,10,0.00022729539999999997,0.0002060462,2.124934e-05
7,100,10,0.00012176252,0.00010486520000000002,1.689752e-05
8,100,10,0.00025025059999999997,0.00023499840000000002,1.5252240000000002e-05
9,100,10,0.00044407320000000003,0.00040864379999999993,3.542974e-05
10,100,10,0.0002495956,0.0002236966,2.5899180000000003e-05
1,100,100,3.3165e-05,2.3082399999999998e-05,1.00826e-05
2,100,100,0.00011101960000000002,9.0087e-05,2.09325e-05
3,100,100,0.00010661732,9.48154e-05,1.1801986e-05
4,100,100,9.38656e-05,7.813119999999999e-05,1.573446e-05
5,100,100,0.00020444639999999997,0.00016586280000000002,3.858376e-05
6,100,100,0.0001559062,0.000135074,2.0832440000000003e-05
7,100,100,0.0001507542,0.0001240554,2.6698679999999998e-05
8,100,100,0.00019196300000000002,0.00016619440000000002,2.5768220000000003e-05
9,100,100,0.0002241714,0.0002012806,2.289068e-05
10,100,100,0.0004602016,0.00042126739999999994,3.893356e-05
11,100,100,0.0153527466,0.015326648599999998,2.6111859999999994e-05
12,100,100,0.021208124000000002,0.021181090000000003,2.7058099999999998e-05
1,100,1000,9.82408e-05,8.39362e-05,1.4304600000000002e-05
2,100,1000,0.0001219964,0.00010917280000000002,1.28239e-05
3,100,1000,0.0001532708,0.000139696,1.357486e-05
4,100,1000,0.00020790220000000003,0.00018204880000000003,2.58534e-05
5,100,1000,0.0002947284,0.0002760214,1.87072e-05
6,100,1000,0.0002651366,0.0002422452,2.28914e-05
7,100,1000,0.0004216644,0.00038321400000000005,3.845044e-05
8,100,1000,0.0002643798,0.000244618,1.976176e-05
9,100,1000,0.00023774219999999997,0.000219298,1.844398e-05
10,100,1000,0.0005979082,0.0005769468,2.096142e-05
11,100,1000,0.0005180258,0.0004882218,2.9804e-05
12,100,1000,0.0007845979999999998,0.0007608858,2.371288e-05
1,100,10000,0.0005800508,0.000520732,5.931879999999999e-05
2,100,10000,0.0005672432,0.0005301468000000001,3.70963e-05
3,100,10000,0.0007592642,0.0007167479999999999,4.2516200000000005e-05
4,100,10000,0.0009099065999999999,0.000876513,3.339434e-05
5,100,10000,0.0011871158,0.0011568027999999998,3.031168e-05
6,100,10000,0.0010141068,0.0009714896000000001,4.261660000000001e-05
7,100,10000,0.0009705247999999998,0.0009428215999999999,2.7704539999999998e-05
8,100,10000,0.0011021606,0.0010616409999999999,4.0518779999999994e-05
9,100,10000,0.0010467356,0.0010190735999999999,2.7661060000000002e-05
10,100,10000,0.0010778017999999998,0.0010421955999999999,3.560874e-05
11,100,10000,0.0015153356,0.0014766255999999998,3.871028e-05
12,100,10000,0.0068671226,0.006805411600000001,6.172232e-05
1,100,100000,0.00591878,0.005325913999999999,0.0005928666
2,100,100000,0.006197438000000001,0.005852474,0.0003449642
3,100,100000,0.008699450000000001,0.008397724,0.00030171880000000003
4,100,100000,0.009984937999999999,0.009710478,0.0002744638
5,100,100000,0.009359224,0.009165666,0.00019355799999999998
6,100,100000,0.010099150000000001,0.009794294,0.0003048742
7,100,100000,0.00965261,0.009448236,0.0002043736
8,100,100000,0.010450464000000001,0.010245988000000001,0.00020447320000000006
9,100,100000,0.0118422,0.01168126,0.0001609558
10,100,100000,0.010463136000000001,0.010326479999999999,0.00013665014000000002
11,100,100000,0.016883500000000003,0.016668119999999998,0.00021538129999999997
12,100,100000,0.01417938,0.014062027999999999,0.0001173414
1,100,1000000,0.05786964,0.05196106,0.005908562
2,100,1000000,0.06265476,0.059346579999999996,0.0033082
3,100,1000000,0.07211382000000001,0.06974986,0.002363876
4,100,1000000,0.08796946,0.08579026000000001,0.002179214
5,100,1000000,0.07804364,0.07616029999999999,0.0018832999999999999
6,100,1000000,0.0821857,0.08040246000000001,0.0017832299999999998
7,100,1000000,0.09566432,0.09423580000000001,0.001428534
8,100,1000000,0.09524782000000001,0.09385094000000001,0.0013968
9,100,1000000,0.1166244,0.11522980000000001,0.0013945919999999998
10,100,1000000,0.12029240000000001,0.11900979999999999,0.001282722
11,100,1000000,0.1079812,0.10688040000000001,0.0011007246000000002
12,100,1000000,0.13067559999999998,0.1295428,0.0011325916
1,100,10000000,0.5753510000000001,0.5157816,0.05956922
2,100,10000000,0.5850736,0.5520028,0.03307054
3,100,10000000,0.6454684,0.6225664,0.02290212
4,100,10000000,0.7894842000000001,0.7653562,0.02412788
5,100,10000000,0.8438518,0.8248878000000002,0.0189641
6,100,10000000,0.8425722,0.8248422,0.01772982
7,100,10000000,0.9363849999999999,0.9210889999999999,0.01529616
8,100,10000000,0.9699924000000001,0.9561052,0.013887
9,100,10000000,1.0429818000000002,1.0284496,0.01453428
10,100,10000000,1.0660060000000002,1.0539044,0.01210062
11,100,10000000,1.13073,1.119132,0.0115981
12,100,10000000,1.3233519999999999,1.3112479999999997,0.01210426
1,1000,10,8.10592e-05,1.87862e-05,6.2273e-05
2,1000,10,0.0009401388,0.0008555399999999999,8.459980000000001e-05
3,1000,10,0.001242912,0.0011253204,0.00011759306000000001
4,1000,10,0.0013363755999999999,0.001218692,0.00011768339999999999
5,1000,10,0.0013316428,0.0012031824,0.0001284612
6,1000,10,0.00177431,0.0016215931999999998,0.00015271460000000002
7,1000,10,0.001554562,0.0014193500000000002,0.0001352138
8,1000,10,0.0028518679999999996,0.002688986,0.00016288459999999998
9,1000,10,0.00309055,0.002913442,0.0001771066
10,1000,10,0.002367516,0.002238678,0.0001288364
1,1000,100,8.55492e-05,2.7612e-05,5.793720000000001e-05
2,1000,100,0.0007367304,0.0006616698,7.50605e-05
3,1000,100,0.0009942386000000001,0.000921392,7.284578e-05
4,1000,100,0.0011301642,0.0010301326000000002,0.00010003114
5,1000,100,0.0014868142,0.0013535846,0.00013323008
6,1000,100,0.0015077720000000003,0.0013772799999999998,0.0001304926
7,1000,100,0.001451272,0.0013097420000000002,0.00014153012000000002
8,1000,100,0.00357296,0.003416082,0.00015687859999999999
9,1000,100,0.0017418259999999997,0.0016153919999999998,0.00012643564
10,1000,100,0.002651342,0.002471128,0.0001802176
11,1000,100,0.002841266,0.002701826,0.00013943619999999998
12,1000,100,0.0044971708,0.0043204374,0.0001767314
1,1000,1000,0.0002193684,0.00013004980000000003,8.93186e-05
2,1000,1000,0.0012138368,0.0011079803999999999,0.00010585779999999999
3,1000,1000,0.0009552698,0.0008774850000000001,7.778437999999999e-05
4,1000,1000,0.00131293,0.0012059646000000001,0.00010696423999999999
5,1000,1000,0.001449552,0.00132062,0.0001289308
6,1000,1000,0.0016643679999999998,0.00152992,0.00013444920000000001
7,1000,1000,0.0019532959999999998,0.0017834780000000002,0.0001698186
8,1000,1000,0.0025294180000000003,0.002309832,0.00021958680000000002
9,1000,1000,0.002115268,0.0019482739999999998,0.000166996
10,1000,1000,0.001949834,0.0018179439999999997,0.0001318912
11,1000,1000,0.003944458,0.0037324380000000002,0.0002120192
12,1000,1000,0.007167126,0.006994348,0.0001727872
1,1000,10000,0.0006868874000000001,0.0005505951999999999,0.0001362922
2,1000,10000,0.001518374,0.0013997240000000002,0.00011865549999999999
3,1000,10000,0.0017984420000000001,0.0016767319999999998,0.00012171351999999999
4,1000,10000,0.001816702,0.0016955660000000001,0.00012113896
5,1000,10000,0.0036698060000000003,0.0035158640000000005,0.00015394231999999998
6,1000,10000,0.0028193000000000003,0.0026568780000000005,0.0001624232
7,1000,10000,0.0028281200000000004,0.002675212,0.000152908
8,1000,10000,0.00394517,0.003676446,0.0002687244
9,1000,10000,0.0033642760000000002,0.0031252700000000003,0.00023900820000000004
10,1000,10000,0.005735116,0.0054806279999999995,0.000254484
11,1000,10000,0.005005746,0.0048293039999999995,0.00017645219999999997
12,1000,10000,0.022563224,0.022369868,0.0001933446
1,1000,100000,0.006654294000000001,0.006005528,0.000648765
2,1000,100000,0.006728708,0.006252232000000001,0.0004764766
3,1000,100000,0.008753008000000001,0.008337488,0.00041552919999999994
4,1000,100000,0.010083819999999999,0.009592842,0.0004909778
5,1000,100000,0.010383436,0.0098786,0.0005048332
6,1000,100000,0.01135246,0.011070006000000002,0.0002824694
7,1000,100000,0.01142978,0.01108818,0.0003415878
8,1000,100000,0.014604,0.014301999999999999,0.00030196899999999997
9,1000,100000,0.012749859999999998,0.01245336,0.00029649580000000003
10,1000,100000,0.01568354,0.01536316,0.0003204008
11,1000,100000,0.0191874,0.0189135,0.000273904
12,1000,100000,0.02958734,0.029221320000000002,0.0003660264
1,1000,1000000,0.06434906,0.05701080000000001,0.007338262
2,1000,1000000,0.07458572000000001,0.07092074000000001,0.0036649379999999995
3,1000,1000000,0.08033486000000001,0.07759826,0.002736588
4,1000,1000000,0.08403459999999999,0.08156004,0.0024745599999999998
5,1000,1000000,0.0841091,0.08201280000000001,0.002096294
6,1000,1000000,0.08426668,0.08222502000000001,0.00204164
7,1000,1000000,0.0936913,0.09207792000000001,0.0016134780000000002
8,1000,1000000,0.09448994,0.09307498,0.001414896
9,1000,1000000,0.10143421999999999,0.10000476,0.0014291439999999998
10,1000,1000000,0.1167236,0.115349,0.0013747759999999999
11,1000,1000000,0.1332754,0.1319434,0.001331904
12,1000,1000000,0.13857180000000002,0.1372396,0.0013324220000000002
1,1000,10000000,0.6239444,0.5622891999999999,0.06165534
2,1000,10000000,0.607403,0.5772724,0.030130479999999998
3,1000,10000000,0.6554864,0.631341,0.024145340000000005
4,1000,10000000,0.7258330000000001,0.7071486,0.0186845
5,1000,10000000,0.7971212,0.7798084000000001,0.017312519999999998
6,1000,10000000,0.8476846,0.8316616,0.016023080000000002
7,1000,10000000,0.8797421999999999,0.8650844000000001,0.01465784
8,1000,10000000,0.9411463999999998,0.9269577999999999,0.01418826
9,1000,10000000,0.9879344000000001,0.9750186,0.01291572
10,1000,10000000,1.0387920000000002,1.0262126,0.01258012
11,1000,10000000,1.086538,1.0750423999999998,0.011491659999999999
12,1000,10000000,1.16387,1.152682,0.011190080000000002
